"","title","survived","age","pclass","sibsp","parch","family_size","child","sex","deck"
"901","Mr","0","22","3","0","0","0","Adult","Male","B"
"1192","Mr","1","33","3","0","0","0","Adult","Male","B"
"379","Mr","0","47","2","0","0","0","Adult","Male","D"
"930","Mr","0","50","3","1","0","2","Adult","Male","D"
"790","Miss","0","0.2","2","0","1","2","Child","Female","D"
"966","Mrs","1","40","3","2","2","5","Adult","Female","D"
"534","Mrs","1","33","2","0","0","0","Adult","Female","D"
"791","Nobleman","1","0.83","2","0","1","2","Child","Male","B"
"832","Mr","0","18","2","0","0","0","Adult","Male","B"
"260","Mrs","1","32","1","0","0","0","Adult","Female","B"
"1222","Mrs","1","25","3","0","0","0","Adult","Female","B"
"659","Mr","1","45","2","0","0","0","Adult","Male","E"
"220","Mr","1","33","1","0","0","3","Adult","Male","E"
"1109","Mrs","1","26","3","1","0","6","Adult","Female","D"
"983","Mr","0","24","3","0","0","0","Adult","Male","D"
"1165","Mr","0","26","3","0","0","0","Adult","Male","D"
"633","Miss","0","34","2","0","0","0","Adult","Female","D"
"314","Mr","0","37","2","0","0","0","Adult","Male","D"
"799","Mr","1","38","2","1","1","3","Adult","Male","C"
"888","Mrs","0","38","2","0","0","0","Adult","Female","B"
"1239","Mrs","0","26","3","0","0","0","Adult","Female","D"
"92","Mr","1","45","1","0","0","3","Adult","Male","B"
"422","Mr","0","43","2","0","0","7","Adult","Male","D"
"1094","Mrs","1","27","3","0","1","2","Adult","Female","B"
"476","Mr","0","55","2","0","0","0","Adult","Male","D"
"686","Mr","0","23","2","0","0","0","Adult","Male","D"
"18","Mr","0","32","1","0","0","0","Adult","Male","E"
"778","Mr","0","29","2","0","0","0","Adult","Male","B"
"334","Rev","0","53","2","1","0","2","Adult","Male","B"
"1142","Mr","0","28","3","0","0","0","Adult","Male","B"
"1040","Mrs","1","24","3","0","0","0","Adult","Female","B"
"971","Mr","0","47","3","0","0","0","Adult","Male","B"
"213","Mr","1","59","1","0","0","0","Adult","Male","B"
"407","Mr","1","38","2","0","0","0","Adult","Male","D"
"329","Mr","1","56","2","0","0","0","Adult","Male","D"
"1232","Mr","1","31","3","2","0","3","Adult","Male","B"
"674","Miss","1","34","2","0","0","0","Adult","Female","B"
"1044","Nobleman","1","11","3","1","2","6","Child","Male","D"
"19","Mr","1","40","1","0","0","0","Adult","Male","A"
"1137","Mr","0","32","3","0","0","0","Adult","Male","D"
"117","Mr","0","58","1","1","0","2","Adult","Male","B"
"834","Mr","0","30","2","0","0","0","Adult","Male","D"
"35","Mr","1","41","1","0","0","0","Adult","Male","E"
"1163","Mr","1","30","3","1","2","4","Adult","Male","D"
"395","Miss","0","54","2","0","0","0","Adult","Female","A"
"1039","Mrs","0","27","3","1","0","2","Adult","Female","D"
"62","Nobleman","0","16","1","1","6","8","Child","Male","D"
"792","Mrs","1","30","2","0","1","2","Adult","Female","B"
"206","Dr","0","53","1","1","0","4","Adult","Male","B"
"553","Mrs","0","31","2","0","1","2","Adult","Female","D"
"361","Mr","1","33","2","1","0","2","Adult","Male","R"
"1154","Mr","0","38","3","0","0","0","Adult","Male","C"
"1237","Mrs","1","43","3","1","0","2","Adult","Female","E"
"238","Mr","0","45","1","0","0","0","Adult","Male","D"
"681","Mr","1","23","2","0","0","0","Adult","Male","C"
"63","Nobleman","0","6","1","5","2","8","Child","Male","D"
"471","Mr","0","28","2","1","2","4","Adult","Male","D"
"708","Miss","0","4","2","2","2","5","Child","Female","B"
"325","Mr","0","28","2","0","0","0","Adult","Male","B"
"259","Mr","0","32","1","0","0","0","Adult","Male","B"
"518","Mr","1","32","2","0","0","0","Adult","Male","E"
"1162","Miss","1","4","3","1","2","4","Child","Female","D"
"529","Miss","0","21","2","0","0","0","Adult","Female","B"
"555","Miss","0","41","2","0","0","0","Adult","Female","B"
"214","Mr","0","59","1","1","0","2","Adult","Male","B"
"651","Miss","0","57","2","0","0","0","Adult","Female","B"
"829","Miss","0","0.83","2","0","2","3","Child","Female","D"
"557","Miss","0","34","2","0","0","0","Adult","Female","A"
"1001","Mrs","0","23","3","0","1","2","Adult","Female","B"
"172","Mr","1","48","1","0","0","0","Adult","Male","B"
"86","Mr","0","49","1","1","0","2","Adult","Male","B"
"1243","Mr","1","34","3","0","0","0","Adult","Male","B"
"1134","Mr","0","22","3","0","0","0","Adult","Male","B"
"235","Military","0","29","1","0","0","0","Adult","Male","B"
"15","Mr","1","43","1","0","0","0","Adult","Male","B"
"133","Mrs","0","50","1","1","0","2","Adult","Female","B"
"495","Mrs","1","26","2","1","0","2","Adult","Female","B"
"1177","Nobleman","1","15","3","1","1","3","Child","Male","B"
"175","Military","0","32","1","0","0","0","Adult","Male","A"
"520","Mrs","1","32","2","0","0","0","Adult","Female","B"
"1064","Mr","0","33","3","0","0","9","Adult","Male","E"
"144","Mr","0","47","1","1","0","3","Adult","Male","D"
"1076","Mr","0","59","3","0","0","0","Adult","Male","E"
"691","Miss","0","14","2","2","2","5","Child","Female","C"
"532","Mr","1","28","2","0","0","0","Adult","Male","D"
"544","Mr","1","24","2","0","0","7","Adult","Male","C"
"604","Mrs","0","39","2","0","0","0","Adult","Female","D"
"421","Mr","1","32","2","0","0","0","Adult","Male","R"
"926","Mr","0","39","3","0","0","0","Adult","Male","C"
"993","Mr","0","28","3","0","0","0","Adult","Male","E"
"134","Mr","1","52","1","0","0","3","Adult","Male","A"
"1220","Mr","1","40","3","1","1","3","Adult","Male","B"
"441","Mr","0","30","2","1","0","2","Adult","Male","C"
"142","Mrs","1","43","1","0","1","3","Adult","Female","A"
"1014","Mr","1","36","3","0","0","0","Adult","Male","D"
"727","Mrs","0","30","2","0","0","0","Adult","Female","R"
"111","Nobleman","0","8","1","1","2","4","Child","Male","A"
"293","Miss","0","6","2","0","0","0","Child","Female","B"
"715","Mrs","1","48","2","0","1","2","Adult","Female","D"
"883","Mrs","0","35","2","0","0","0","Adult","Female","B"
"135","Mr","0","49","1","0","0","2","Adult","Male","B"
"1059","Mr","1","24","3","0","0","0","Adult","Male","D"
"1121","Mr","1","22","3","0","0","0","Adult","Male","B"
"600","Mr","0","31","2","0","1","2","Adult","Male","B"
"820","Mr","0","45","2","0","0","0","Adult","Male","D"
"598","Mrs","1","52","2","0","1","2","Adult","Female","D"
"1153","Mr","1","30","3","0","0","0","Adult","Male","B"
"903","Nobleman","1","4","3","1","1","3","Child","Male","B"
"93","Mr","0","48","1","0","0","0","Adult","Male","B"
"54","Rev","1","64","1","0","0","0","Adult","Male","D"
"655","Miss","1","25","2","0","0","0","Adult","Female","D"
"244","Mrs","1","39","1","0","0","0","Adult","Female","B"
"34","Mr","0","63","1","0","0","0","Adult","Male","B"
"390","Mr","1","36","2","1","0","2","Adult","Male","D"
"240","Mrs","0","36","1","0","0","0","Adult","Female","B"
"333","Mr","1","18","2","0","1","2","Adult","Male","D"
"736","Mr","1","29","2","0","0","0","Adult","Male","R"
"1245","Mr","0","27","3","0","0","0","Adult","Male","B"
"138","Miss","0","42","1","1","0","2","Adult","Female","D"
"1267","Mr","0","32","3","0","0","0","Adult","Male","B"
"222","Mr","1","23","1","0","0","0","Adult","Male","B"
"894","Mr","0","38","3","0","0","3","Adult","Male","E"
"1032","Mr","1","24","3","0","0","0","Adult","Male","B"
"1158","Miss","1","29","3","0","0","0","Adult","Female","B"
"515","Mrs","1","27","2","0","1","2","Adult","Female","C"
"757","Mr","0","37","2","0","0","0","Adult","Male","B"
"707","Miss","0","41","2","1","0","2","Adult","Female","D"
"648","Miss","1","36","2","0","0","0","Adult","Female","E"
"312","Mr","0","43","2","0","0","0","Adult","Male","B"
"363","Miss","0","30","2","0","0","0","Adult","Female","B"
"762","Mrs","1","35","2","0","0","0","Adult","Female","C"
"1213","Mr","0","17","3","0","0","0","Child","Male","B"
"964","Nobleman","1","0.83","3","2","2","5","Child","Male","B"
"472","Nobleman","1","11","2","1","2","4","Child","Male","R"
"397","Nobleman","0","0.5","2","0","1","2","Child","Male","D"
"1037","Mr","0","53","3","0","0","0","Adult","Male","B"
"459","Dr","1","27","2","0","0","0","Adult","Male","C"
"55","Mr","0","55","1","0","0","0","Adult","Male","D"
