title,survived,age,pclass,sibsp,parch,family_size,child,sex,deck
Mr,1,31,1,1,0,2,Adult,Male,A
Mrs,1,32,1,1,0,2,Adult,Female,A
Mr,0,47,1,0,0,0,Adult,Male,B
Mr,1,55,1,0,0,0,Adult,Male,B
Dr,1,42,1,0,0,0,Adult,Male,B
Mrs,0,53,1,1,0,2,Adult,Female,B
Mr,0,41,1,1,0,2,Adult,Male,B
Mrs,0,50,1,1,0,2,Adult,Female,B
Mr,1,52,1,0,0,3,Adult,Male,A
Mr,0,49,1,0,0,2,Adult,Male,B
Mr,0,48,1,0,0,4,Adult,Male,D
Mr,0,39,1,1,0,2,Adult,Male,D
Miss,0,42,1,1,0,2,Adult,Female,D
Mr,1,57,1,0,0,3,Adult,Male,B
Nobleman,0,39,1,0,0,3,Adult,Male,D
Military,1,22,1,0,1,3,Adult,Male,A
Mrs,1,43,1,0,1,3,Adult,Female,A
Mr,1,40,1,0,0,2,Adult,Male,B
Mr,0,47,1,1,0,3,Adult,Male,D
Mrs,1,41,1,1,0,3,Adult,Female,D
Mr,1,35,1,0,0,2,Adult,Male,B
Mr,1,36,1,0,0,0,Adult,Male,D
Mr,0,65,1,0,0,0,Adult,Male,B
Mr,0,45,1,0,0,0,Adult,Male,A
Mr,1,36,1,0,0,0,Adult,Male,B
Mr,0,45,1,0,0,0,Adult,Male,A
Miss,1,18,1,0,0,8,Adult,Female,E
Mrs,1,31,1,0,0,0,Adult,Female,B
Mr,1,49,1,0,0,0,Adult,Male,B
Miss,1,15,1,0,2,4,Child,Female,B
Mr,0,43,1,1,1,4,Adult,Male,B
Mrs,0,37,1,1,1,4,Adult,Female,B
Miss,0,23,1,0,0,8,Adult,Female,E
Nobleman,0,8,1,1,1,3,Child,Male,D
Nobleman,0,9,1,1,1,3,Child,Male,D
Mrs,0,34,1,0,2,3,Adult,Female,D
Mrs,0,59,1,0,0,2,Adult,Female,E
Noblewoman,1,32,1,0,1,3,Adult,Female,B
Mr,0,44,1,0,0,0,Adult,Male,B
Mr,0,30,1,1,0,3,Adult,Male,B
Mrs,0,28,1,1,0,3,Adult,Female,B
Mr,1,38,1,0,0,0,Adult,Male,B
Rev,0,68,1,0,0,0,Adult,Male,D
Mr,0,43,1,0,0,0,Adult,Male,D
Mr,1,60,1,0,0,0,Adult,Male,D
Mr,0,38,1,0,0,0,Adult,Male,D
Mr,1,48,1,0,0,0,Adult,Male,B
Mr,0,45,1,0,0,0,Adult,Male,D
