survived,pclass,sex,age,sibsp,parch,title,deck,family_size,child
0,2,0,53,1,0,Rev,B,2,adult
0,3,0,28,0,0,Mr,B,0,adult
1,3,1,24,0,0,Mrs,B,0,adult
0,3,0,47,0,0,Mr,B,0,adult
1,1,0,59,0,0,Mr,B,0,adult
1,2,0,38,0,0,Mr,D,0,adult
1,2,0,56,0,0,Mr,D,0,adult
1,3,0,31,2,0,Mr,B,3,adult
1,2,1,34,0,0,Miss,B,0,adult
1,3,0,11,1,2,Nobleman,D,6,child
1,1,0,40,0,0,Mr,A,0,adult
0,3,0,32,0,0,Mr,D,0,adult
0,1,0,58,1,0,Mr,B,2,adult
0,2,0,30,0,0,Mr,D,0,adult
1,1,0,41,0,0,Mr,E,0,adult
1,3,0,30,1,2,Mr,D,4,adult
0,2,1,54,0,0,Miss,A,0,adult
0,3,1,27,1,0,Mrs,D,2,adult
0,1,0,16,1,6,Nobleman,D,8,child
1,2,1,30,0,1,Mrs,B,2,adult
0,1,0,53,1,0,Dr,B,4,adult
0,2,1,31,0,1,Mrs,D,2,adult
1,2,0,33,1,0,Mr,T,2,adult
0,3,0,38,0,0,Mr,C,0,adult
1,3,1,43,1,0,Mrs,E,2,adult
0,1,0,45,0,0,Mr,D,0,adult
1,2,0,23,0,0,Mr,C,0,adult
0,1,0,6,5,2,Nobleman,D,8,child
0,2,0,28,1,2,Mr,D,4,adult
0,2,1,4,2,2,Miss,B,5,child
0,2,0,28,0,0,Mr,B,0,adult
0,1,0,32,0,0,Mr,B,0,adult
1,2,0,32,0,0,Mr,E,0,adult
1,3,1,4,1,2,Miss,D,4,child
0,2,1,21,0,0,Miss,B,0,adult
0,2,1,41,0,0,Miss,B,0,adult
0,1,0,59,1,0,Mr,B,2,adult
0,2,1,57,0,0,Miss,B,0,adult
0,2,1,0.83,0,2,Miss,D,3,child
0,2,1,34,0,0,Miss,A,0,adult
0,3,1,23,0,1,Mrs,B,2,adult
1,1,0,48,0,0,Mr,B,0,adult
0,1,0,49,1,0,Mr,B,2,adult
1,3,0,34,0,0,Mr,B,0,adult
0,3,0,22,0,0,Mr,B,0,adult
0,1,0,29,0,0,Military,B,0,adult
1,1,0,43,0,0,Mr,B,0,adult
0,1,1,50,1,0,Mrs,B,2,adult
1,2,1,26,1,0,Mrs,B,2,adult
1,3,0,15,1,1,Nobleman,B,3,child
0,1,0,32,0,0,Military,A,0,adult
1,2,1,32,0,0,Mrs,B,0,adult
0,3,0,33,0,0,Mr,E,9,adult
0,1,0,47,1,0,Mr,D,3,adult
0,3,0,59,0,0,Mr,E,0,adult
0,2,1,14,2,2,Miss,C,5,child
1,2,0,28,0,0,Mr,D,0,adult
1,2,0,24,0,0,Mr,C,7,adult
0,2,1,39,0,0,Mrs,D,0,adult
1,2,0,32,0,0,Mr,T,0,adult
0,3,0,39,0,0,Mr,C,0,adult
0,3,0,28,0,0,Mr,E,0,adult
1,1,0,52,0,0,Mr,A,3,adult
1,3,0,40,1,1,Mr,B,3,adult
0,2,0,30,1,0,Mr,C,2,adult
1,1,1,43,0,1,Mrs,A,3,adult
1,3,0,36,0,0,Mr,D,0,adult
0,2,1,30,0,0,Mrs,T,0,adult
0,1,0,8,1,2,Nobleman,A,4,child
0,2,1,6,0,0,Miss,B,0,child
1,2,1,48,0,1,Mrs,D,2,adult
0,2,1,35,0,0,Mrs,B,0,adult
0,1,0,49,0,0,Mr,B,2,adult
1,3,0,24,0,0,Mr,D,0,adult
1,3,0,22,0,0,Mr,B,0,adult
0,2,0,31,0,1,Mr,B,2,adult
0,2,0,45,0,0,Mr,D,0,adult
1,2,1,52,0,1,Mrs,D,2,adult
1,3,0,30,0,0,Mr,B,0,adult
1,3,0,4,1,1,Nobleman,B,3,child
0,1,0,48,0,0,Mr,B,0,adult
1,1,0,64,0,0,Rev,D,0,adult
1,2,1,25,0,0,Miss,D,0,adult
1,1,1,39,0,0,Mrs,B,0,adult
0,1,0,63,0,0,Mr,B,0,adult
1,2,0,36,1,0,Mr,D,2,adult
0,1,1,36,0,0,Mrs,B,0,adult
1,2,0,18,0,1,Mr,D,2,adult
1,2,0,29,0,0,Mr,T,0,adult
0,3,0,27,0,0,Mr,B,0,adult
0,1,1,42,1,0,Miss,D,2,adult
0,3,0,32,0,0,Mr,B,0,adult
1,1,0,23,0,0,Mr,B,0,adult
0,3,0,38,0,0,Mr,E,3,adult
1,3,0,24,0,0,Mr,B,0,adult
1,3,1,29,0,0,Miss,B,0,adult
1,2,1,27,0,1,Mrs,C,2,adult
0,2,0,37,0,0,Mr,B,0,adult
0,2,1,41,1,0,Miss,D,2,adult
1,2,1,36,0,0,Miss,E,0,adult
0,2,0,43,0,0,Mr,B,0,adult
0,2,1,30,0,0,Miss,B,0,adult
1,2,1,35,0,0,Mrs,C,0,adult
0,3,0,17,0,0,Mr,B,0,child
1,3,0,0.83,2,2,Nobleman,B,5,child
1,2,0,11,1,2,Nobleman,T,4,child
0,2,0,0.5,0,1,Nobleman,D,2,child
0,3,0,53,0,0,Mr,B,0,adult
1,2,0,27,0,0,Dr,C,0,adult
0,1,0,55,0,0,Mr,D,0,adult
0,2,0,6,0,0,Nobleman,D,0,child
0,1,0,9,1,1,Nobleman,D,3,child
0,3,1,40,0,1,Mrs,E,3,adult
1,1,1,49,0,0,Mrs,E,0,adult
0,2,0,6,0,2,Nobleman,B,3,child
0,3,0,32,0,0,Mr,D,0,adult
0,2,0,4,1,2,Nobleman,D,4,child
0,2,1,45,0,0,Mrs,A,0,adult
0,2,0,26,0,0,Mr,D,0,adult
0,2,1,54,1,0,Mrs,C,2,adult
0,2,0,31,0,0,Mr,D,0,adult
0,2,1,31,0,1,Mrs,A,2,adult
1,2,0,38,0,0,Mr,D,0,adult
1,3,1,39,0,0,Miss,E,0,adult
0,3,1,30,1,0,Mrs,B,2,adult
0,2,1,70,0,1,Mrs,B,2,adult
0,1,1,59,0,0,Mrs,E,2,adult
1,2,1,35,1,4,Mrs,B,5,adult
0,3,1,29,0,1,Mrs,B,2,adult
0,3,1,37,5,1,Mrs,D,7,adult
0,3,1,22,0,0,Miss,B,0,adult
0,2,1,45,1,1,Mrs,B,3,adult
0,3,0,30,0,0,Mr,A,0,adult
0,2,1,34,0,1,Mrs,B,2,adult
1,2,0,26,0,0,Mr,B,7,adult
0,2,0,31,1,0,Mr,B,2,adult
0,2,1,32,0,0,Miss,D,0,adult
0,2,0,48,0,0,Mr,B,0,adult
0,3,0,50,0,0,Mr,B,0,adult
1,1,0,49,0,0,Nobleman,B,4,adult
0,3,0,24,0,0,Mr,B,0,adult
0,1,1,56,0,0,Mrs,B,0,adult
1,3,1,35,0,0,Mrs,D,0,adult
0,2,1,37,1,2,Mrs,D,7,adult
0,1,1,57,0,0,Mrs,B,0,adult
0,1,0,41,1,0,Mr,B,2,adult
0,1,0,53,1,0,Mr,E,2,adult
0,1,0,61,0,0,Mr,A,0,adult
1,3,1,32,0,0,Miss,B,0,adult
1,3,1,43,0,0,Mrs,B,0,adult
1,2,0,3,1,1,Nobleman,C,3,child
0,3,0,29,0,0,Mr,D,0,adult
0,2,1,22,0,0,Miss,D,0,adult
0,1,0,48,0,0,Mr,B,0,adult
0,1,0,39,1,0,Mr,D,2,adult
1,2,0,21,0,0,Mr,T,2,adult
0,2,0,21,0,0,Mr,T,0,adult
0,2,1,30,0,1,Mrs,D,2,adult
1,2,1,24,1,2,Mrs,C,4,adult
0,2,1,61,1,0,Mrs,A,2,adult
1,2,1,39,1,2,Mrs,E,3,adult
0,3,0,27,0,0,Mr,D,0,adult
1,3,0,37,0,0,Mr,B,0,adult
0,1,1,56,0,1,Mrs,D,2,adult
0,1,0,45,0,1,Mr,A,2,adult
1,3,0,30,0,0,Mr,E,0,adult
0,2,1,31,0,0,Miss,T,0,adult
0,3,1,23,0,0,Miss,D,0,adult
0,3,0,25,0,0,Mr,D,0,adult
1,1,0,31,1,0,Mr,A,2,adult
0,3,1,24,0,0,Miss,D,0,adult
0,3,1,33,1,2,Mrs,A,4,adult
0,2,1,37,1,0,Mrs,C,2,adult
0,2,0,59,0,0,Mr,B,0,adult
1,2,0,16,1,2,Nobleman,T,4,child
0,3,0,21,0,0,Mr,C,0,adult
1,3,0,3,2,2,Nobleman,D,5,child
0,2,0,29,1,1,Mr,D,3,adult
0,2,1,34,0,0,Miss,B,0,adult
0,2,0,0.83,2,2,Nobleman,T,5,child
0,2,1,0.5,0,0,Miss,B,0,child
0,3,0,28,0,0,Mr,B,0,adult
0,2,0,30,0,0,Mr,B,0,adult
1,2,1,24,1,1,Mrs,D,4,adult
0,1,0,68,0,0,Rev,D,0,adult
0,2,0,35,1,1,Mr,D,3,adult
1,2,0,28,0,0,Mr,E,0,adult
1,2,1,37,1,0,Mrs,B,2,adult
1,1,0,38,0,0,Mr,B,0,adult
0,2,0,45,0,0,Mr,D,0,adult
1,2,0,1.6,1,0,Nobleman,E,2,child
0,3,0,27,0,0,Mr,B,0,adult
1,1,0,27,0,0,Mr,E,0,adult
1,2,0,32,0,0,Mr,B,0,adult
0,2,1,2,0,0,Miss,A,0,child
0,3,0,48,0,0,Mr,B,0,adult
0,2,1,42,0,0,Mrs,D,0,adult
1,2,1,49,0,0,Mrs,B,0,adult
1,3,0,26,0,0,Mr,B,0,adult
1,2,0,36,0,0,Mr,E,0,adult
0,3,0,57,0,0,Mr,B,0,adult
0,2,1,29,0,0,Mrs,D,0,adult
1,1,1,59,1,0,Mrs,B,2,adult
1,2,0,43,0,0,Mr,B,0,adult
1,2,1,8,0,1,Miss,D,2,child
0,3,0,37,0,0,Mr,A,0,adult
0,3,0,34,0,0,Mr,D,0,adult
0,2,1,28,0,1,Miss,E,2,adult
0,1,0,43,1,1,Mr,B,4,adult
0,3,0,48,0,0,Mr,B,0,adult
0,2,1,34,0,0,Miss,D,0,adult
0,2,1,2,0,1,Miss,B,2,child
0,1,1,12,5,2,Miss,D,8,child
1,1,0,38,0,0,Mr,B,0,adult
0,1,1,52,1,0,Mrs,B,4,adult
1,3,1,27,1,0,Mrs,A,2,adult
1,2,0,19,0,0,Mr,D,0,adult
1,2,1,16,0,1,Miss,D,2,child
0,3,1,34,0,0,Miss,A,0,adult
1,1,1,0.2,3,2,Miss,E,8,child
0,2,0,51,0,0,Mr,D,0,adult
0,1,0,63,0,1,Mr,B,2,adult
1,1,0,36,0,0,Mr,B,0,adult
0,1,0,38,0,0,Mr,E,0,adult
0,3,0,27,0,0,Mr,E,0,adult
0,2,1,40,0,0,Mrs,A,0,adult
0,1,1,16,1,1,Miss,B,5,child
0,2,1,49,4,2,Mrs,B,7,adult
1,3,1,26,0,0,Miss,D,0,adult
0,2,0,36,1,0,Mr,B,2,adult
0,3,0,39,0,0,Mr,D,9,adult
1,1,0,37,0,0,Mr,C,0,adult
1,3,1,25,0,0,Miss,E,0,adult
1,3,1,30,0,0,Miss,B,0,adult
0,2,0,56,2,2,Mr,D,7,adult
0,2,1,35,0,0,Miss,D,0,adult
1,1,0,35,0,0,Mr,D,0,adult
1,2,1,16,1,1,Miss,E,4,child
0,1,0,55,0,0,Mr,E,0,adult
1,3,0,41,0,0,Mr,E,0,adult
0,3,0,54,0,0,Dr,B,0,adult
1,2,1,34,0,0,Miss,E,0,adult
1,1,0,44,0,0,Mr,A,0,adult
0,2,1,24,0,0,Mrs,C,0,adult
0,2,1,35,0,0,Miss,C,0,adult
1,1,0,35,0,0,Mr,B,2,adult
0,3,0,45,0,0,Mr,A,0,adult
1,1,0,46,1,0,Mr,D,2,adult
1,2,0,30,1,0,Mr,B,2,adult
0,2,0,27,0,0,Mr,D,0,adult
0,3,0,37,1,0,Mr,B,2,adult
1,2,0,37,0,0,Mr,A,2,adult
0,3,0,30,0,0,Mr,B,3,adult
0,1,0,45,0,0,Mr,A,0,adult
0,1,0,48,0,0,Mr,B,0,adult
0,3,1,69,0,0,Mrs,D,0,adult
1,1,1,32,0,1,Noblewoman,B,3,adult
0,3,0,36,0,0,Mr,B,0,adult
0,1,0,37,0,0,Mr,B,0,adult
0,1,1,53,1,0,Mrs,B,2,adult
0,1,0,38,0,0,Mr,D,0,adult
0,2,1,39,1,0,Mrs,C,2,adult
0,2,1,2,0,1,Miss,D,2,child
0,3,0,38,1,2,Mr,E,4,adult
0,3,1,2,1,1,Miss,D,3,child
0,3,1,4,5,1,Miss,B,7,child
0,3,0,26,1,0,Mr,D,2,adult
0,2,1,24,0,2,Mrs,B,3,adult
0,2,0,18,0,2,Mr,B,3,adult
0,3,0,41,0,0,Mr,B,0,adult
1,2,0,29,0,0,Mr,B,0,adult
1,3,1,27,2,0,Mrs,B,3,adult
1,2,1,34,1,0,Mrs,E,2,adult
0,1,0,48,0,0,Mr,D,2,adult
1,2,1,25,1,0,Miss,D,2,adult
1,3,0,27,1,0,Mr,E,2,adult
1,2,0,17,0,1,Nobleman,T,2,child
0,3,1,24,0,1,Miss,E,2,adult
1,3,1,56,0,0,Mrs,B,0,adult
0,2,0,45,0,0,Mr,C,0,adult
0,1,1,37,1,1,Mrs,B,4,adult
1,3,1,53,1,1,Mrs,C,3,adult
0,2,0,33,1,0,Mr,D,2,adult
0,2,1,35,0,0,Miss,E,2,adult
1,2,1,55,1,0,Mrs,B,2,adult
0,3,1,34,1,0,Mrs,D,2,adult
0,1,0,40,0,0,Mr,A,0,adult
0,3,1,26,0,0,Mrs,B,0,adult
